product_id,also_viewed_item_prouduct_id
1430679753,"['1138972742', '2261399264', '1430679804', '1766942241', '1430679737', '1518441205', '4528995926', '1279827691', '1829493909', '32023744', '1689450873', '1138972718', '1683514409', '4528995234', '2035043539', '2012074918', '4899755280', '1829493113', '2091558146', '2035043294', '2029098583', '51417867', '4528995185', '1911251180', '1096195704', '141595143', '1914536362', '4760853740', '1960868118', '18342378', '4339701361', '2035043478', '1105311096', '338415121', '207613369', '1176812218', '204704494', '4648389192', '1968834574', '2035042888', '5155530', '1968666029', '4506833219', '4522860405', '227087590', '4533466448', '97627940', '207608621', '200268725', '90440244', '3436115', '2012074301', '2012073789', '1960868041', '340150007', '10755024', '1826430249', '181882888', '4528995773', '230839949', '298473981', '120008773', '1790298133', '207073974', '1336182884', '1279825201', '255068544', '1772662977', '2034869278', '85591394', '1148758930', '38907860', '291783797', '1156975784', '4361438684', '4528995534', '1954556037', '2321794721', '1315500107', '4562388626', '338427421', '341306883', '1610964169', '1494959863', '1141993983', '23755842', '313689156', '1254973639', '322744802', '2044209949', '44831973', '2174514239', '205944348', '1519070564', '327985427', '228528012', '140425763', '5002577869', '1360497345']"
1401559740,"['46845326', '35289538', '218912675', '295552610', '37366733', '129157588', '1584863949', '1306926674', '10755024', '1129835', '63992161', '110925026', '1539425008', '5339561980', '1096195704', '108125745', '57063884', '51417867', '2627325', '2627331', '2354751719', '2493552', '1941498140', '5399878498', '1105311096', '133484986', '46172654', '5526939920', '2373184931', '4604849960', '5125772618', '1685706221', '115130948', '51860502', '1458760', '5281675005', '1194148073', '5471866788', '4802907393', '2021630451', '136081082', '1657636450', '2110148964', '1670223623', '2196909053', '32023744', '5284690331', '4356581421', '327985427', '49300701', '4846352797', '5009754884', '4586928015', '1370896429', '1418999016', '1335565768', '4565154777', '56587417', '124496833', '4632672301', '5125849391', '2082645126', '2083440667', '30267111', '4526702040', '2087915123', '5276833236', '1472027989', '4656346446', '206554206', '1854785168', '1119670850', '4793997', '1319942542', '136660079', '60626666', '1659025406', '115130927', '133097891', '327645671', '285454538', '247648836', '1801628951', '1588938873', '112531201', '9859206', '5473018039', '5392946520', '120008773', '1662436107', '276309393', '1130846513', '78757060', '60659732', '4803477933', '1984949332', '1816492647', '145323302']"
1925620681,"['2016636833', '1253953956', '1335583382', '1762446696', '16374109', '1583395774', '3439007', '227600539', '227601377', '208482074', '1464083772', '293062900', '150583557', '3439006', '1593603145', '1895308813', '2022069224', '2243313148', '290781981', '1587176722', '5393502029', '208482070', '1791763477', '1465183208', '288870205', '4736439902', '253293214', '1748746936', '1731842967', '2570336', '194071046', '4896518998', '194071062', '1920068707', '2085655069', '2010777173', '177226673', '4823628062', '6416871', '1593602823', '3439002', '88514424', '4584244807', '4567910121', '1449236007', '4831587248', '1329544852', '1368159959', '1547791319', '1702772648', '5393556092', '4922989837', '1465058952', '294224267', '1744599240', '5281331157', '1844219861', '245352117', '324246576', '1330065385', '15219352', '2166607826', '4875857631', '179229062', '12351296', '1597728939', '1299141129', '16374106', '4549695631', '216143135', '1786629143', '2044365304', '172919906', '1318182810', '152167496', '1681430114', '100212276', '88514401', '1985196485', '1756629', '152167524', '1002525', '18893615', '2570337', '88514456', '331846155', '1660752918', '1705927640', '202566477', '152167523', '1552973920', '5077640654', '62730960', '319929269', '5070102975', '3438999', '4544377895', '2112427324', '5156039', '3439000']"
1138972718,"['1138972742', '1430679804', '1430679753', '2261399264', '1291494197', '1502554750', '1279827691', '1138972775', '1518441205', '1096195704', '10607696', '4911466542', '1911251180', '141595143', '1766942241', '2035043294', '1430679737', '1829493909', '1758838803', '4528995234', '1689450873', '1829493113', '4528995926', '2035042888', '2035043539', '4528995185', '2029098583', '4528995630', '1176812218', '1279825201', '23755842', '4339701361', '185844201', '5002577869', '295552610', '2035043478', '207073974', '1960868118', '2321794721', '1790298133', '200268725', '2044209949', '10755024', '1360497345', '1812252998', '1291494178', '1772662977', '4522860405', '2012074301', '97627940', '257451083', '1315500107', '285453513', '4515835453', '1254973639', '267034634', '1508666749', '38907860', '181882888', '322744802', '1141993983', '1629016296', '90440244', '1336182884', '144896234', '1807030329', '129138546', '4506833219', '4528995773', '18507433', '4866561357', '1182744839', '85591394', '207608509', '298473981', '1182047891', '3436115', '1539864251', '4760853740', '1105311096', '228528012', '1683514409', '53095533', '1954556037', '282800040', '1194143240', '85043909', '1928703468', '175256591', '50613189', '205944348', '327985427', '255068544', '202252461', '36555392', '341306883', '2034869278', '1502553424', '4528995534']"
1315500107,"['1829493909', '1315498278', '1829493113', '44831973', '2140542006', '2035043478', '291783797', '1914536182', '1914536362', '2086389955', '1141993983', '2336333658', '1315487598', '4349355352', '2305514682', '1790298133', '1911251180', '1960868118', '1315513157', '2086361746', '2012304837', '2035043294', '2035042888', '101222103', '202909467', '18342378', '1829494046', '4562388626', '4776588094', '43055848', '1430985602', '267034634', '2012073789', '4328272445', '51417867', '90440244', '4648389106', '97627864', '2045728977', '4528995534', '1336182884', '1968666029', '338474141', '340150007', '112473630', '112186944', '120008773', '2284761970', '23165006', '18192010', '85593023', '245149949', '2012074301', '4648389192', '338415121', '228528012', '284397881', '2010087477', '252308539', '297609244', '2140511064', '207073974', '212334396', '313689156', '98327827', '1679789081', '165416498', '20208228', '1082743749', '4361438684', '255068544', '1395447593', '5185713877', '129481818', '4829605016', '2245139455', '4528995234', '97183507', '1148758930', '1924120780', '291782722', '4533466448', '4690012705', '1449377499', '1566993131', '4790664806', '2316339901', '85591394', '2046335788', '1156975784', '41068685', '5155530', '284393542', '62120704', '4389460010', '1631103477', '218025334', '341306883', '86944296']"
2336333658,"['1829493909', '2012304837', '2035043294', '1911251180', '1829493113', '2012073789', '2035043478', '2035042888', '5275321123', '1960868118', '4528995534', '1566993131', '2035043539', '1914536182', '1315500107', '1914536362', '5465766552', '1395447593', '4349355352', '2012074301', '1829494046', '2336333568', '1141993983', '2045728977', '2046335788', '4711733658', '1885576158', '2035044070', '4533466448', '4528995926', '4648389106', '4528995630', '4776588094', '18192010', '1315498278', '2305514682', '1790298133', '1602944709', '2086389955', '1631103477', '291783797', '2086361746', '1460017240', '2010087477', '270945829', '4562388626', '2245139455', '1362596919', '284397881', '44831973', '112186944', '1968666029', '318424056', '338415121', '340150007', '1315487598', '66107016', '1960868041', '43055848', '97627864', '4361438684', '271941671', '202909467', '4790664806', '318424017', '5185713877', '4648389192', '1772662977', '1336182884', '85591394', '271941763', '5358521433', '1156975784', '338474141', '2012074918', '90440244', '62120704', '313689156', '1096195704', '2316339901', '1968834574', '228528012', '341306883', '1829493556', '2035043387', '112473630', '85593023', '9267131', '322744802', '18342378', '2203173573', '133623856', '5155530', '255068544', '1338931368', '218025334', '2140542006', '1148758930', '230953805']"
4922989837,"['245352117', '1681430114', '4615881364', '331846155', '4947567765', '4736439902', '1693886885', '4671166196', '1704138952', '4782405893', '1196405888', '2106824978', '1268514725', '2352880099', '1179844013', '2145429305', '2145429430', '1287648998', '4744103311', '290781981', '1801459632', '2353650791', '1930648337', '5374989074', '1705927640', '1946884898', '2160784517', '1583395774', '3439012', '1214210147', '88514424', '4633687899', '1335987315', '1597728939', '1791763477', '1885299560', '1702772648', '5263139406', '1379472834', '1464083772', '266269246', '25379399', '2145428909', '4541323606', '3439007', '1362849932', '4831587248', '208482074', '5183213063', '1583454574', '2016636833', '5393502029', '319929269', '10756127', '288870205', '177226632', '4382905540', '1795680583', '4712271953', '2348961422', '324246576', '1443556364', '1002525', '1203754912', '1071870722', '1330065385', '1223274184', '62119495', '5512848', '179229062', '1221045373', '3438998', '3439006', '13707019', '164487841', '4590239102', '1357025287', '4841483255', '150583557', '4605885522', '216143135', '1086051413', '1727591769', '88514401', '181963060', '26448066', '279358736', '1748544493', '1844219861', '129211274', '1387766039', '5319757592', '5032234529', '228444439', '1762835439', '194071046', '260681792', '1218731339', '15219352', '1925620681']"
1610964169,"['227087590', '1592666', '231606029', '34885412', '1142371126', '245880131', '1194148073', '1829493113', '266119003', '1829494046', '1914536362', '1504791917', '1504791908', '32023744', '285454538', '1105311096', '110262619', '90440244', '1790298133', '1829493909', '1960868118', '2035043294', '5207703600', '1315500107', '1235113586', '1430679753', '66107016', '2012073789', '1911251180', '2174514239', '86742623', '1683514409', '218912675', '4648389192', '1336182884', '44831973', '2044209949', '4528995234', '338415121', '30267111', '43055848', '2012074301', '78757060', '4533467395', '97627940', '4841297815', '1353282051', '1947045940', '1930040199', '4506833219', '4648389106', '1156975784', '4533466448', '1984949332', '2305514682', '133623856', '3436115', '4656346446', '4562388626', '2086389955', '115130948', '1968834574', '1431680335', '5002577869', '1464395351', '340150007', '51417867', '1854785168', '338474141', '344347721', '2316339901', '35371610', '216663922', '255068544', '120008773', '5155530', '136081082', '119130085', '10755024', '23165006', '295552610', '1096195704', '1891733252', '60951423', '1410491', '274477824', '313689156', '85591394', '178644058', '4356581421', '169137565', '129944613', '257451083', '4526702040', '207073974', '2035043478', '185844201']"
1829493113,"['1829493909', '1829494046', '1315500107', '1914536362', '4349355352', '2336333658', '2035043294', '1829493556', '2035043478', '44831973', '2012073789', '1914536182', '4562388626', '1911251180', '2045728977', '1960868118', '2012074301', '2035042888', '2012304837', '1141993983', '2035043539', '2086389955', '4528995926', '284393542', '284397881', '1315498278', '2035044070', '2012074918', '1336182884', '2046335788', '1082743749', '4528995234', '2035043387', '202909467', '2010087477', '90440244', '4533466448', '4776588094', '4648389192', '340150007', '43055848', '2305514682', '4328272445', '1148758930', '18342378', '1758838803', '62120704', '85593023', '2086361746', '4528995534', '1968666029', '228528012', '4648389106', '18192010', '4389460010', '4361438684', '112473630', '1790298133', '1082581752', '2140542006', '129481818', '230839949', '1631103477', '2316339901', '338415121', '4528995773', '252308539', '1930040199', '5155530', '4528994560', '341306883', '338474141', '313689156', '51417867', '2245139455', '1430985602', '291783797', '1315487598', '255068544', '112186944', '1960868041', '1566993131', '101222103', '85591394', '218025334', '322744802', '23165006', '4690012705', '98371367', '98281421', '1156975784', '133623856', '121855169', '267034634', '338427421', '4841297815', '1767368463', '20208228', '1772662977']"
290781981,"['4866625852', '216143135', '4736439902', '4771030233', '324246576', '2352880099', '4744103311', '4789885991', '4831587248', '1844219861', '88514424', '1583454574', '1330065385', '1946884898', '4633687899', '1368159959', '4758332818', '10756127', '177226673', '1357832867', '1920243315', '4922989837', '177226632', '1597728939', '3439012', '2035042888', '1631103477', '4327257697', '88514419', '90437143', '21948312', '291783797', '145398823', '88514447', '4618873506', '1952026232', '2016636833', '1791763477', '5190943824', '1571688599', '1180158993', '49921960', '2145429305', '1335583382', '4737501185', '4590239102', '4382905540', '1925620681', '656850', '2080371305', '5393502029', '1583395774', '1731842967', '5512848', '181963060', '1702772648', '4549578239', '208482074', '1660752918', '1930648337', '1335987315', '1705927640', '1841366098', '1464083772', '4705979716', '4782405893', '1196405888', '1179844013', '1831465812', '1583554600', '288870205', '15219352', '179229062', '4896518998', '266269246', '62119495', '4541323606', '245352117', '3439006', '150583557', '129211274', '2243313148', '174055395', '319929269', '36762599', '2022069224', '194071046', '1268514725', '88514401', '1449059683', '4316711694', '4382908458', '1831779262', '1449064017', '1253953956', '2010777173', '260681792', '331846155', '4584244807', '127376524']"
