,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,인테리어,재질,사이즈,설치,색상,매트리스포함,침대 프레임
399,494,184562,"무소음 단면 매트리스 간편설치 / 1인 원룸가구 인테리어가구 침대 프레임, 플레어_그레이",72900,344347721,False,0,4.5,3.0,False,침대생각,착불배송,1.0,모던/심플,NULL,NULL,NULL,NULL,매트리스포함,NULL
400,495,184562,"톡톡모두팜 침대발통 침대다리 단면매트리스전용 발통, 블랙10개",13200,122259912,False,5,4.5,13.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
401,496,184562,"포메리트 저상형 침대 프레임 깔판 멀티싱글, 원목색",50000,1291494197,True,0,4.5,11.0,False,포메리트,0,11.0,NULL,NULL,멀티싱글,NULL,NULL,NULL,NULL
402,497,184562,"동서가구 스칸홈 미송원목 슈퍼싱글침대+독립매트리스 DF642165, 내추럴",289000,1460722999,False,49,5.0,4.0,False,동서가구,착불배송,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,498,184562,"에보니아 [에보니아]리버스 소파 접이식 1인용 쇼파베드, 브라운",186420,2375008579,False,3,5.0,1.0,False,에보니아,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,501,184562,"코자코 4단 접이식 원목 침대 깔판 저상형 패밀리 프레임, 슈퍼싱글(SS) - [4F4]",44900,4783503191,False,52,5.0,1.0,False,,"15,000",1.0,NULL,원목,슈퍼싱글,NULL,원목 우드색,NULL,NULL
405,502,184562,"리바트 토스트 네츄럴 침대 + 9존 포켓스프링 26cm 매트리스 방문설치, 오크",489000,5465766552,True,0,,,False,리바트,0,,NULL,NULL,슈퍼싱글,방문설치,NULL,NULL,
406,503,184562,북유럽 소나무 침대 받침대 프레임 매트리스 깔판 저상형 패밀리 미니싱글 MS 75cm,24800,4899755344,False,28,5.0,1.0,False,,"15,000",1.0,NULL,NULL,멀티싱글,NULL,NULL,NULL,NULL
407,504,184562,[아마존BEST]지누스 아이언라인 하이브리드 침대 프레임 슈퍼싱글,206100,247289441,False,10,,,False,지누스,0,,NULL,NULL,슈퍼싱글,NULL,NULL,NULL,NULL
408,505,184562,"라헬 수납침대 고무나무원목 S 침대프레임 Q침대, 01.LED수납침대 SS, 01.선택안함",167000,5361040106,False,68,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
409,506,184562,"모더니가구 레이 가죽 하단 침대프레임 받침대, 그레이",179000,265607437,False,22,5.0,4.0,False,,0,3.0,NULL,합성목재,NULL,NULL,NULL,별도구매,밀폐형
410,507,184562,"라자가구 베스트 LED조명침대세트 크림슨&아이크+채움마이크로업H 세트런칭!, 01.크림슨LED 평상형침대 퀸Q_내추럴",186000,18507433,False,46,4.0,105.0,False,라자가구,착불배송,38.0,NULL,NULL,NULL,NULL,브라운,별도구매,NULL
411,508,184562,"슬립스토아 로드 핀란드 원목 분리 일반서랍 이층침대 S 세트 (매트포함) 3colors, 네추럴",509000,4529393727,False,28,5.0,4.0,False,,착불배송,4.0,NULL,원목,싱글,NULL,NULL,NULL,NULL
412,509,184562,"소미랑 루나 침대 철제 프레임, 화이트",75120,1604677955,True,10,3.5,45.0,False,,0,45.0,NULL,철재,NULL,NULL,NULL,별도구매,NULL
413,510,184562,통나무 주문제작 레몬오일 돌침대 평상형 침대 프레임 만들기 싱글 슈퍼싱글 퀸 킹 원목침대,189000,4791612809,False,0,4.5,4.0,False,,착불배송,4.0,NULL,원목,NULL,NULL,NULL,별도구매,오픈형
414,511,184562,"일루일루 이층벙커침대 모음, 코모드i책상형벙커침대 프레임만, 블랙",192000,1662480601,False,0,4.5,19.0,False,일루일루,"50,000",19.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
415,512,184562,"베드넷퍼니쳐 포맨 소파베드, 페브릭-그레이",129000,160136871,False,31,4.5,13.0,False,베드넷퍼니쳐,착불배송,13.0,모던/심플,NULL,NULL,NULL,NULL,NULL,NULL
416,513,184562,"디오 편백나무 원목 4단 접이식 침대 깔판, 사이즈",39800,1186327848,False,0,4.5,20.0,False,디오,"15,000",14.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
