,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
112,158,184615,"20/30/40cm넓이침실롱줄초좁은침대옆틈새장침대책상밑 서랍장옆궤Z, 조립 하 다., 20cm 쿨 링 화이트",24300,5321579610,False,0,,,False,다소미얼,0,,NULL,NULL,NULL,NULL
113,160,184615,"간이침대 캐비닛 대여 전용 서랍장 우드박스 잠금장치 소형 베드캐비닛 가볍게 북유럽풍Z, 조립 하 다., 더 블 사이즈 2 서랍 끈 지퍼 흰색",33200,5321583072,False,0,,,False,다소미얼,0,,NULL,NULL,NULL,NULL
114,161,184615,라탄 우드 매거진랙 잡지꽂이 협탁,68000,5296027959,False,32,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
115,162,184615,"침대협탁 침대 옆 미니 원목 대리석 협탁 선반 옆 테이블 심플 모던 미니 작은, 어셈블리, 기본 웜 화이트",48300,4661552622,False,16,,,False,,0,,NULL,NULL,NULL,NULL
116,164,184615,"바니가구 바니 2단 협탁, 옹이B",29900,41256164,False,0,4.5,64.0,False,,0,25.0,가로400깊이350높이445,브라운,MDF,NULL
117,165,184615,"삼익가구 디엔 멀바우 확장형 사이드테이블, 멀바우브라운",52900,85595811,False,41,4.0,24.0,False,삼익가구,착불배송,19.0,NULL,NULL,NULL,NULL
118,166,184615,"마티노가구 원목 1단 협탁, 월넛",99000,131033311,False,26,5.0,7.0,False,마티노가구,착불배송,5.0,400x355x440mm,브라운,원목,NULL
119,167,184615,제이에스리빙 원목 침대옆 침대 사이드 테이블 거실 침실 엔틱 보조 서럽장 간이 선반 미니 수납장 진열장 다용도 이동식 3단 2단 우드 L6120 40x34x50,39700,1950056466,False,28,3.5,7.0,False,,0,7.0,NULL,NULL,NULL,NULL
120,168,184615,"큐빅스 P 컬러협탁A, 블랙",36740,136982474,True,30,4.0,96.0,False,큐빅스,0,25.0,420 x 295 x 615 mm,블랙,플라스틱,북유럽
121,169,184615,"가온리빙 이삭공간협탁 진열장, 화이트",29900,14484507,False,0,4.5,45.0,False,가온리빙,착불배송,10.0,(W)41*(D)30*(H)59.5cm,화이트,합성목재,NULL
122,171,184615,"나무궁 플랫 원목 침대 옆 선반 협탁, 뷰티",56640,2020856950,True,4,4.5,3.0,False,나무궁,0,3.0,NULL,NULL,NULL,NULL
123,174,184615,"바니가구 북유럽 2단 협탁, 카툰고양이",43900,61405480,False,0,4.5,99.0,False,,"5,000",16.0,가로440깊이360높이510,멀티(혼합)컬러,합성목재,NULL
124,175,184615,"리바트 플랜트 박스, 블랙",33500,61005989,False,0,4.0,17.0,False,리바트,0,11.0,NULL,NULL,NULL,모던/심플
125,176,184615,"침대협탁 거실협탁 미니 침실 사이드테이블 서랍 철제 쇼파 이케아 원목 침대옆테이블 서랍장 엔틱 거실장 수납장, 검은 호두 60 * 30 사이즈",25000,1725522235,False,0,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL
126,177,184615,"벨리카가구 녹스 침대 협탁 미니 사이드 테이블 서랍장, 녹스 1단 600 협탁_그레이",32900,1610217967,False,58,5.0,1.0,False,벨리카가구,착불배송,1.0,NULL,그레이,NULL,북유럽
127,178,184615,"파로마 아도니스 오픈 협탁, 그레이",50860,4570447884,True,1,1.5,5.0,False,파로마,0,5.0,NULL,NULL,NULL,NULL
128,180,184615,"제이에스리빙 협탁 침대 우드 침대옆 사이드 테이블 원목 엔틱 거실 침실 보조 간이 선반 공간활용 미니 서랍장 수납장 다용도 이동식 2단 3단 사각 W8110 46x30x42, 라티나 멀티 협탁(우드)",29700,1950159842,False,37,2.5,2.0,False,,0,2.0,NULL,우드,NULL,내추럴
129,181,184615,"마켓비 EZBO BESIDE 캐비넷 협탁, 코코아월넛",56860,1662416149,True,5,3.5,13.0,False,마켓비,0,13.0,NULL,NULL,NULL,NULL
130,184,184615,대디가구 마야2단협탁/화이트 그레이화이트,58900,5374225452,False,0,5.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL
131,185,184615,대디가구 마야3협탁/화이트 그레이화이트,67900,5374239750,False,0,1.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL
132,187,184615,제이에스리빙 협탁 침대옆 엔틱 사이드 테이블 원목 우드 침대 공간 활용 다용도 선반 미니 수납장 열쇠 서랍장 침실 거실 인테리어 2단 3단 J857 48x30x36,29800,1946884449,False,22,2.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL
