,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
251,304,184614,"USM HALLER 침대협탁 소형 베드사이드 테이블, W500 H525 D400 옐로우 A",950100,2304948293,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
252,305,184614,"즐거운가구 레이첼 선반 수납 세트 1000 행거 장롱 옷행거 수납장 슬라이딩옷장, 블루 스무디",197180,1274757886,False,0,5.0,1.0,False,즐거운가구,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL
253,306,184614,"마켓비 PIDOR 캐비넷 모던세로중 2문 수납장 8001015, 화이트",135850,1952044479,False,5,3.5,5.0,False,마켓비,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
254,307,184614,"쉘빙스토리 LS 진열장 6단 가방진열장 철제 수납선반, 화이트",79900,1792944181,False,55,5.0,2.0,False,,0,2.0,W450*D400*H2020,화이트,철제,NULL,NULL,6개
255,308,184614,"[에타홈] 플렉스 800 긴문 주방수납장 항균필름 렌지대, 그레이:핑크",182000,2357110421,False,4,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
256,309,184614,"라자가구 RF 데이브 하이 수납장 800, 오크",79000,5375321041,False,55,5.0,2.0,False,라자가구,착불배송,2.0,800 x 385 x 835 mm,NULL,NULL,NULL,바퀴없음,NULL
257,310,184614,"아리아퍼니쳐 Catarina 주방 4단 틈새 수납장, 본품",56900,5227596824,False,52,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
258,311,184614,"굿트리 쏘잉앤 실패꽂이 원목 수납장, 선택안함",49000,210720486,False,0,5.0,1.0,False,굿트리,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
259,312,184614,튼튼한 커스텀 정리수납장 선반 매직리빙박스 정리대 선반 옷장 장농 팬트리 틈새 수납장 옷정리 트레이 배달연구소,39800,1991228825,False,28,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
260,313,184614,"옷장 수납장 선반 문고정 자석판 빠지링, 갈색",7810,5525221038,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
261,314,184614,"주머니 모기 부표 통용 흡 털제거 발 청결 여과기 빨래망, 이대 7개입 5개 필터 _2주머니 청",18000,5503691400,False,49,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
262,315,184614,"픽차 다용도 접이식 수납장 이동식 선반, 화이트",39900,5497482061,False,0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
263,317,184614,"서진퍼니처 800 1200 돌체기본형 거실장 티비다이, 1200 메이플",135000,1652824292,False,32,5.0,2.0,False,,착불배송,2.0,NULL,NULL,NULL,NULL,NULL,NULL
264,319,184614,"ST9839 필웰 무노 주방 서랍수납장800 DVX, 화이트",80000,2317252714,False,37,,,False,필웰,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
265,320,184614,16cm 냉장고 세탁기 틈새장 옆수납장 얇은서랍장 틈새수납장200,20870,5555066805,False,0,,,False,,"10,300",,NULL,NULL,NULL,NULL,NULL,NULL
266,322,184614,"[삼익가구]하버 라탄 원목 1000 와이드 수납장, 내추럴",239000,2346640115,False,57,5.0,1.0,False,삼익가구,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL
267,324,184614,"리더스퍼니처 2자 다용도 수납장, 화이트",49900,15947424,False,0,4.0,24.0,False,,"9,000",,W600 x D400 x H710 (mm),화이트,합성목재,NULL,NULL,2단
268,325,184614,"민규네고가구 창살 어항대 5자, 단품",255230,4394798333,False,26,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
269,326,184614,이케아 365+ 음식 보관통 원형 유리 플라스틱 유리 792.690.95,4400,225990571,False,49,5.0,1.0,False,이케아,"5,000",,NULL,NULL,NULL,NULL,NULL,NULL
270,327,184614,"북유럽 모던 코너장식장 모서리장식장 인테리어장 가구장, 화이트(40x30x152cm)",92000,1980639608,False,19,1.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
271,328,184614,"코너장 코너 수납대 거실 모서리 벽코너선반 심플 삼각 책장 수납선반 보관, C01-조립, T02-6단 고단목 벽코너선반",90900,5522031383,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL
272,329,184614,"헬시윙 트렁크정리함 차량탑재 수납함 플바인딩 자동차 수납케이스 신기 야채구매 쇼핑 미니 카트 띠도르래 멀티, 한 개 8 바퀴 언덕을 오르다 타입 레드 블",114200,5476645355,False,46,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
273,330,184614,이케아 TEVALEN 테발렌 수납유닛 화이트 36x17x33 cm 104.242.54,15690,5235445389,False,0,,,False,이케아,0,,NULL,NULL,NULL,NULL,NULL,NULL
274,331,184614,"에스지 즐거운가구 레이첼 광폭 틈새수납장 400, 쿠키 스무디",74110,180067073,False,3,5.0,2.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL
275,332,184614,일상공감 차곡차곡 옷장트레이 (40P) + 초간편폴더,61800,5492394744,False,0,,,False,일상공감,0,,NULL,NULL,NULL,NULL,NULL,NULL
