,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,형태,인테리어,재질,접이 가능여부
41,57,503219,AML Mall 다용도 테이블 스마트폰 태블릿 노트북 거치 베드트레이 G6,36900,1587176722,False,0,5.0,26.0,False,,0,26.0,NULL,NULL,NULL,NULL,NULL,NULL
42,59,503219,"제이에스리빙 사무용 협탁 높은 원목 미니 노트북 이동식 책상 협탁 접이식 티 식탁 베드 트레이 좌식 간이 보조 높이 각도 조절 거실 튼튼한 사이드 테이블 독서 공부 Q571-5, 마테오 테이블",37600,4382908458,False,0,3.0,5.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
43,61,503219,"하이목스 [무료배송]원목 미니찻상 베드트레이, 02브라운",21000,131991111,False,0,4.5,21.0,False,,0,16.0,W470*D320*H210,NULL,직사각형,NULL,"고무나무,원목",접이식가능
44,62,503219,"제이킨 W형 스마트 접이식 미니테이블 컵홀더 거치형, 우드",9000,4749828197,True,0,2.5,4.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
45,65,503219,"바네스데코 대나무 접이식 랩탑 테이블 L, natural",22900,5278722507,True,0,5.0,1.0,False,바네스데코,0,1.0,74 x 34 x 37 cm,NULL,NULL,NULL,NULL,접이식가능
46,66,503219,"서우홈 대나무 노트북 테이블 L, 네츄럴",31100,194071062,True,0,4.0,76.0,False,서우홈,0,23.0,60 x 40 x 21~25 cm,베이지,직사각형,NULL,원목,NULL
47,69,503219,"놀자리빙 접이식 베드 트레이, 화이트",9150,4368595379,True,35,2.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
48,70,503219,"히키스 베드트레이 H70, 혼합색상",29800,5257152737,True,0,,,False,히키스,0,,NULL,NULL,NULL,NULL,NULL,NULL
49,72,503219,"그뤠잇라이프 다용도 접이식 노트북 테이블 베드트레이, 블랙",15380,212200142,True,0,4.0,67.0,False,,0,19.0,NULL,NULL,NULL,NULL,NULL,NULL
50,74,503219,"조은세상 다용도 베드트레이, 월넛",19600,2081589656,True,0,3.0,4.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
51,75,503219,먼데이하우스 순수원목 베드트레이,20900,23006585,False,0,4.5,30.0,False,먼데이하우스,0,10.0,NULL,베이지,직사각형,NULL,원목,NULL
52,76,503219,"21세기트랜드 미니 베드 테이블, 망비",25800,1593603145,True,0,5.0,3.0,False,21세기트랜드,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
53,78,503219,"폴더 접이식 휴대 테이블 61 x 41 x 29 cm, 블루",11800,2176439102,True,0,4.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
54,79,503219,"컵홀더 베드 테이블 미니테이블 생활용품 테블릿거치대 접이식테이블 휴대용 캠핑 좌식 접이식테이블, 베드테이블, 블랙",7700,4342794777,False,0,4.0,35.0,False,,0,35.0,NULL,NULL,NULL,NULL,NULL,NULL
55,80,503219,"오웬 접이식 테이블 FH, 블랙",10500,1676672300,True,0,4.0,14.0,False,,0,14.0,NULL,NULL,NULL,NULL,NULL,NULL
56,81,503219,"벤트리 접이식 미니 원목 베드트레이 2types, 01. 베니",17900,4326253326,False,69,5.0,2.0,False,,"3,000",2.0,51x33x21cm,NULL,NULL,내추럴,원목,접이식가능
57,82,503219,"재미월드 와이드 노트북 접이식 좌식 테이블 배드트레이, 혼합색상",44800,2044365304,True,0,4.5,8.0,False,재미월드,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL
58,85,503219,"푼토 귀차니즘 다용도 침대 테이블 베드트레이 라이트, 브라운",19900,1681010107,False,0,3.5,30.0,False,푼토,0,30.0,NULL,브라운,직사각형,모던/심플,NULL,접이식가능
59,86,503219,"침대 다리 접이식 테이블, 그린",8900,2176438761,True,0,3.0,5.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
60,87,503219,높이조절 각도조절 1인용 베드트레이 접이식테이블 베드테이블 미니테이블 태블릿PC거치 브런치테이블 공부테이블 독서테이블 가정용 학생 개인용,26500,2286295822,False,16,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
61,88,503219,"히키스 독서대 서랍식 수납 인체공학 베드트레이 E6S, 혼합 색상",44900,227600539,False,0,5.0,782.0,False,히키스,"2,500",385.0,650 x 500 x 300 mm,베이지,NULL,NULL,"AL, ABS, WOOD",접이식가능
62,89,503219,"히키스 라이프스타일 베드트레이, Grey",28000,62351060,False,0,4.5,57.0,False,히키스,0,15.0,NULL,NULL,NULL,NULL,NULL,NULL
63,90,503219,"에라토 우딘 소반 배드 트레이 M, 월넛",49140,5353492166,False,9,,,False,,0,,M,NULL,직사각형,NULL,합성목재,접이식가능
64,91,503219,"접이식 베드 테이블, 우드",8500,5388104951,False,0,5.0,3.0,False,일상잡화,0,3.0,60 x 40 x 28 cm,NULL,NULL,NULL,NULL,접이식가능
65,92,503219,대나무 좌식 접이식 테이블,15500,5472271484,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
66,93,503219,"21세기트랜드 밤부스 베드 테이블, 혼합색상",26500,1593602823,True,0,4.0,11.0,False,21세기트랜드,0,11.0,NULL,NULL,NULL,NULL,NULL,NULL
67,94,503219,"CareFree 원목 접이식 다과상 S-005, 혼합색상",14670,1419462440,True,0,4.0,14.0,False,,0,13.0,NULL,NULL,NULL,NULL,NULL,NULL
68,95,503219,"노트북테이블 좌식테이블 다용도 접이식 베드트레이 좌식책상, 다용도 테이블 블랙",13200,5070102975,False,0,4.0,3.0,False,,"3,000",3.0,NULL,NULL,NULL,NULL,NULL,NULL
69,96,503219,"ETN 접이식 미니 간이테이블, 그레이",10270,205923903,True,0,4.5,3.0,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
