,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,가로길이,형태
124,149,184674,"철물프렌드 바퀴모음전, 1인치회전바퀴(흑색)",600,17410641,False,0,4.5,167.0,False,,"2,500",70.0,NULL,NULL,NULL,NULL,NULL,NULL
125,150,184674,"서우 높이조절 LPM 타원테이블 특대 80, 화이트",21300,306571195,True,0,4.5,1034.0,False,서우,0,806.0,80 x 60 x 28~31 cm,화이트,LPM,NULL,80cm,타원형
126,151,184674,"보니애가구 모네스 고무나무 원목 2인 식탁세트, 월넛브라운",108000,131870339,False,64,4.5,264.0,False,보니애가구,착불배송,145.0,800*800*750,NULL,원목,NULL,80cm,NULL
127,152,184674,소담갤러리 멀바우 4인용 가정용 불판테이블 미우새 접이식테이블 불판접이식테이,130000,118629493,False,48,4.5,281.0,False,소담갤러리,0,97.0,W1200 x D750 x H320,브라운,LPM,NULL,120cm,NULL
128,153,184674,"성원기업 서랍 레일 가구부속자재, 4.서랍장 레일(철) 400mm",2200,25202317,False,0,4.5,254.0,False,,"2,500",95.0,NULL,화이트,NULL,NULL,NULL,NULL
129,157,184674,"제우스가구 DIY 입식멀티테이블 1200 x 400 x 725 mm, 내츄럴",34750,3323601,True,8,4.0,1495.0,False,,0,425.0,1200 x 400 x 725 mm,베이지,합성목재,NULL,1200mm,NULL
130,158,184674,"21세기트랜드 퓨어 전자레인지 선반, 화이트",48800,2274950896,False,0,5.0,27.0,False,21세기트랜드,0,27.0,NULL,NULL,NULL,NULL,NULL,NULL
131,159,184674,"조은세상 남원 향로 찻상 450 x 330 x 220 mm, 대추색",28900,1694674459,True,0,4.5,34.0,False,조은세상,0,34.0,NULL,NULL,NULL,NULL,NULL,NULL
132,160,184674,"(삼성 IREX) 40KG 무게도 끄떡없는 튼튼함 3단볼레일 댐핑 (추가상품 밥통레일) 서랍장레일, IR1) 3단볼레일(35mm/폭) _ 450mm",5690,66177974,False,0,4.5,241.0,False,,0,122.0,NULL,NULL,NULL,NULL,NULL,NULL
133,161,184674,"코지테일러 인테리어 홈바의자 높은 바텐의자 B14, 진베이지",37900,2170508171,False,0,4.5,92.0,False,,0,92.0,NULL,NULL,NULL,NULL,NULL,NULL
134,165,184674,"벨라홈 LPM 샤르망 타원형 접이식테이블 1200 x 600 mm, 화이트",49200,1929275524,True,0,4.5,47.0,False,벨라홈,0,47.0,NULL,NULL,NULL,NULL,NULL,타원형
135,167,184674,"주디자인 타볼리노 쿠션테이블 플라스틱 상판, 검정",24640,2508766,True,29,4.5,274.0,False,,0,79.0,360 x 260 x 150 mm,블랙,플라스틱,NULL,360mm,직사각형
136,168,184674,"에코DIY 원목 원형바스툴, 내츄럴",18900,1611557,True,5,4.0,294.0,False,,0,135.0,NULL,브라운,원목,내추럴,NULL,NULL
137,170,184674,"경첩 싱크대경첩 욕실장경첩 무타공경첩 무보링경첩 댐퍼경첩 힌지, 110도 싱크대경첩 15mm용 (1개)",500,1218904416,False,0,4.5,19.0,False,,0,17.0,NULL,NULL,NULL,NULL,NULL,NULL
138,171,184674,"위드퍼니처 멀바우S 1200 x 600 4인 식탁 테이블, 멀바우",53000,1688223144,True,13,5.0,9.0,False,위드퍼니처,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL
139,172,184674,"베스트리빙 캔버라 4인 원목 식탁, 내츄럴",358750,57063877,False,0,4.0,469.0,False,베스트리빙,0,112.0,1200 x 750 x 750mm,브라운,원목,NULL,1200mm,NULL
140,173,184674,"레몬트리 높이조절 접이식 테이블 1200 x 800 mm, 마블 화이트",48240,4584011302,True,4,4.5,26.0,False,,0,26.0,NULL,NULL,NULL,NULL,NULL,NULL
141,174,184674,"디홀릭 4인용 카페테이블 LPM, 아카시아",53830,302037660,True,32,4.0,420.0,False,디홀릭,0,133.0,NULL,NULL,NULL,NULL,NULL,일자형
142,175,184674,백수소반 레드 직 교자상 + 부직포 커버 900 x 750 x 320 mm,52000,1567038201,True,0,4.0,70.0,False,백수소반,0,70.0,NULL,NULL,NULL,NULL,NULL,직사각형
143,177,184674,"아이캔컴퍼니 유러피안 LPM 강낭콩테이블 대 + 보호캡, 화이트",22460,152167523,True,7,5.0,596.0,False,아이캔컴퍼니,0,315.0,790 x 590 x 305 mm,화이트,NULL,NULL,790mm,굴곡형/3D입체
144,178,184674,"베드테이블 스마트 컵홀더 접이식 미니테이블 베드트레이 책상 밥상 미니책상 노트북테이블 공구책상 생활용품 테블릿거치대 접이식테이블, 우드",9900,4537085236,False,23,4.0,49.0,False,,0,49.0,NULL,NULL,NULL,NULL,NULL,NULL
145,180,184674,"퍼니우드 E0등급 프리미엄보드 좌식테이블 직사각, 베이직 특대 600X800 메이플",30800,1634110368,False,0,4.5,157.0,False,,0,158.0,특대,NULL,합성목재,모던/심플,80cm,직사각형
146,181,184674,"RZ9757 데이아 서랍형 이동조리대 DVX, 잉글리쉬월넛",58900,1082798647,False,33,4.5,99.0,False,필웰,착불배송,83.0,NULL,NULL,NULL,NULL,NULL,NULL
147,182,184674,"베스트리빙 [수도권 3일이내 배송]캘빈하이그로시4인식탁세트/의자2개+벤치형의자1개, 웬지",129000,45068641,False,46,4.0,265.0,False,베스트리빙,"30,000",97.0,NULL,블랙,NULL,내추럴,NULL,NULL
148,184,184674,"퍼니하우스 헤븐 1800 다용도 주방 부엌 냉장고형 키큰수납장, 화이트",55900,99634426,False,60,4.0,181.0,False,퍼니하우스,착불배송,163.0,NULL,NULL,NULL,모던/심플,NULL,NULL
149,185,184674,"산들리빙 2인 4인 카페테이블 식탁 빈티지 티 철제 홈세트 업소용 테이블, 02_앨리스테이블600x600",36900,110270363,False,26,4.0,341.0,False,,착불배송,66.0,600x600x730,NULL,합성목재,NULL,60cm,NULL
150,186,184674,"아이캔컴퍼니 LPM 4단 높이조절 쌍다리 테이블 12060, 블랙",43620,331160690,True,6,4.5,87.0,False,아이캔컴퍼니,0,72.0,NULL,NULL,NULL,NULL,NULL,NULL
151,187,184674,"서랍 철레일, 1개",1200,4058684,False,0,4.5,289.0,False,,"2,500",98.0,NULL,NULL,강철/철제,NULL,NULL,NULL
152,189,184674,"토비 상다리, 튼튼 상다리 A형 월넛 (4개 1조)",5400,117882709,False,0,4.5,67.0,False,,0,35.0,NULL,NULL,NULL,NULL,NULL,NULL
153,190,184674,포메리트 다용도상 미니 엔틱,11820,2521934,True,25,4.5,560.0,False,포메리트,0,132.0,510 x 380 x 270 mm,브라운,합성목재,NULL,510mm,직사각형
154,192,184674,"가온리빙 아티스 800 렌지대 에어프라이어 수납장 밥솥/렌지대, 아티스 멀티 렌지수납장(네이비)",124000,1586564287,False,0,4.5,127.0,False,가온리빙,착불배송,127.0,NULL,NULL,NULL,모던/심플,NULL,NULL
155,196,184674,"조립식 렌지대 수납장 4단, 다크블루",46900,5347846466,False,32,4.5,357.0,False,,0,319.0,NULL,NULL,NULL,NULL,NULL,NULL
156,199,184674,"스토리퍼니쳐 레터링 테이블 해브 어 굿타임 대 780, 블랙",18900,223210386,True,48,4.5,102.0,False,스토리퍼니쳐,0,93.0,NULL,NULL,NULL,NULL,NULL,NULL
157,200,184674,"홈앤홈 스마트 조립식 렌지대 3단, 화이트",40330,1770462670,True,12,4.5,94.0,False,룸앤홈,0,94.0,NULL,NULL,NULL,NULL,NULL,NULL
158,201,184674,"블루밍홈 비토 접이식 식탁 렌지대, 아이보리",81440,4941474,True,13,4.0,1041.0,False,블루밍홈,0,247.0,98 x 48 x 152.5 cm,베이지,합성목재,NULL,98cm,NULL
159,202,184674,"그뤠잇라이프 다용도 접이식 컵홀더 테이블 베드트레이 60 x 40 cm, 우드",6330,212818333,True,20,4.0,133.0,False,,0,91.0,NULL,NULL,NULL,NULL,NULL,NULL
160,203,184674,"작은손가구철물 가구다리 높이 조절 주름 발 [상품군], 주름발통 60mm",1500,57658980,False,0,4.5,67.0,False,,0,44.0,NULL,실버,알루미늄,NULL,NULL,NULL
161,204,184674,"철물프렌드 식탁다리 700용, 화이트",5400,12077503,False,0,4.5,179.0,False,,"2,500",70.0,NULL,NULL,NULL,NULL,NULL,NULL
162,205,184674,"달팽이리빙 아이엠 액자테이블 L, 해안도로",30330,2151217390,True,0,4.5,41.0,False,달팽이리빙,0,42.0,NULL,NULL,NULL,NULL,NULL,NULL
163,207,184674,"애모씨오가구 2인용 식탁, 블랙",64390,145229921,True,0,3.5,108.0,False,,0,55.0,60 x 75 x 72 cm,블랙,합성목재,NULL,60cm,NULL
164,209,184674,"디데이마트 가구서랍레일 총집합 볼레일, 선택4)3단 광폭레일/400mm(2개1조)",5100,27337535,False,0,4.5,242.0,False,,"3,000",70.0,NULL,NULL,철제,NULL,NULL,NULL
165,210,184674,"화이트 상다리 접이식 테이블 1200 x 600 mm, 대리석",7800,2051385597,True,0,5.0,38.0,False,,0,38.0,NULL,NULL,NULL,NULL,NULL,NULL
166,211,184674,"디데이마트 가구 장롱 싱크대 경첩 총집합, 장롱/붙박이장 180도경첩(아웃도어)",2300,27376125,False,0,4.5,52.0,False,,"3,000",29.0,NULL,실버,철제,NULL,NULL,NULL
167,212,184674,"제우스가구 심플 수납장, 화이트",37110,1332012727,True,9,2.5,214.0,False,,0,204.0,NULL,NULL,NULL,NULL,NULL,NULL
168,213,184674,"룸앤홈 헬싱키바 테이블, 블랙",49300,161855419,True,45,4.0,165.0,False,룸앤홈,0,68.0,1200 x 400 x 840 mm,블랙,강재,모던/심플,1200mm,NULL
169,214,184674,"철물코리아 원목판재 합판 집성목 원목선반, W04원목선반-1200X300",12500,36466632,False,0,4.5,175.0,False,,0,104.0,NULL,NULL,NULL,NULL,NULL,NULL
170,215,184674,"튜즈데이샵 다용도 전자렌지선반 전자레인지 수납장 랙 오븐 렉 밥솥 다이 높이조절 렌지대, 블랙",24000,4691069000,False,33,4.5,110.0,False,,0,110.0,NULL,NULL,NULL,NULL,NULL,NULL
171,216,184674,홈페리 네쥬 원형 테이블 600,51880,2091923897,True,13,4.0,34.0,False,홈페리,0,34.0,NULL,화이트,NULL,내추럴,60cm,NULL
172,217,184674,"튜즈데이샵 조립식 길이조절 전자렌지선반 랙 밥통 다이 전자레인지 수납장 오븐렉 렌지대 밥솥/렌지대, 화이트",21900,4730887556,False,0,5.0,33.0,False,,0,31.0,420*360*650,NULL,"탄소강,고품질페인트코팅",모던/심플,NULL,NULL
173,218,184674,"일송가구 1000 베이직 접이식 좌식 테이블 교자상, 옹이",28000,262652457,False,0,4.5,86.0,False,,0,74.0,NULL,NULL,NULL,NULL,NULL,NULL
174,219,184674,히키스 인체공학 높낮이 각도조절 베드트레이 A6L,26130,2010777173,True,0,4.5,69.0,False,히키스,0,70.0,NULL,NULL,NULL,NULL,NULL,NULL
175,221,184674,"서우 모던 LPM 정타원테이블 60, 화이트",19300,306571172,True,0,4.5,156.0,False,서우,0,105.0,NULL,NULL,NULL,NULL,NULL,NULL
176,222,184674,"위드퍼니처 멀바우S 1200 x 700 4인 식탁 테이블, 멀바우",60000,1688222167,True,7,4.5,19.0,False,위드퍼니처,0,19.0,NULL,NULL,NULL,NULL,NULL,NULL
177,223,184674,"소프시스 위더스 3단렌지대 640, 티크판넬 + 화이트프레임",42660,82246595,True,4,4.5,1747.0,False,소프시스,0,381.0,600 x 400 x 1160 mm,브라운,합성목재,NULL,600mm,NULL
178,224,184674,일상공감 요거슨 뒤집게 1+1,21800,2088097995,False,0,4.5,5.0,False,일상공감,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
179,226,184674,"홈트리 모션테이블 1세트(높이조절 책상/테이블), 다크브라운",82800,5469778880,False,6,3.5,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL
180,227,184674,"철물프렌드 접이식몰딩다리 가구다리 상다리 접이식다리 좌식다리, 접이식몰딩다리(블랙)",1000,214086832,False,0,5.0,29.0,False,,"2,500",21.0,NULL,NULL,NULL,NULL,NULL,NULL
181,228,184674,"사사가구 포텐 2인용 식탁세트(의자포함) 식탁세트, 내추럴",109000,1522287461,False,59,4.5,121.0,False,사사가구,착불배송,121.0,NULL,베이지,NULL,NULL,NULL,NULL
182,229,184674,"그뤠잇라이프 높이조절 접이식 노트북 베드트레이, 우드",13500,1827150419,False,0,4.0,70.0,False,,0,71.0,NULL,NULL,NULL,NULL,NULL,NULL
183,230,184674,"코멧 내추럴스타일 테이블 특대형 89*59cm, 베이지",17990,2354065280,True,25,4.5,58.0,False,코멧,0,58.0,NULL,NULL,NULL,NULL,NULL,NULL
184,231,184674,"리빙코디 헬로키티 유아공부상, 허니마카롱",50290,1598025780,False,0,5.0,40.0,False,리빙코디,0,36.0,NULL,NULL,NULL,NULL,NULL,NULL
185,232,184674,"포메리트 모던엔틱 직 교자상 1200 x 800 x 320 mm, 엔틱",87210,284107696,True,0,4.5,109.0,False,포메리트,0,90.0,NULL,NULL,NULL,NULL,NULL,NULL
186,233,184674,"국산 접이식 양은밥상 원형밥상, 1호 (특대) 지름 42.5cm",15500,1449938938,False,18,4.0,68.0,False,,0,57.0,NULL,그레이,NULL,빈티지,42.5cm,원형
187,234,184674,국산 싱크대 가스쇼바 9 kg 유압 주방 쇼바,3600,1831881037,False,0,4.5,38.0,False,,"3,000",38.0,NULL,NULL,NULL,NULL,NULL,NULL
188,235,184674,"원터치 상다리부속 1조세트 (나무 접이식 밥상다리 교자상 부품 가구부속 가구다리 좌탁 테이블 조립 가구만들기), 밥상다리부속1조",4700,1163320852,False,0,3.5,97.0,False,,0,87.0,NULL,NULL,NULL,NULL,NULL,NULL
189,236,184674,"인홈즈 홈바 아일랜드 식탁의자 시리즈, 심플기본바체어(블랙)",29900,268317546,False,0,4.0,39.0,False,,0,39.0,NULL,NULL,NULL,NULL,NULL,NULL
190,237,184674,"따니네 접이식 미니 테이블 ZZ008 60 x 40 x 28 cm, 화이트",12000,1547791319,False,0,4.0,136.0,False,,0,137.0,NULL,NULL,NULL,NULL,NULL,NULL
191,238,184674,"히키스 스마트폰 태블릿PC거치 인체공학 베드트레이 E6, 혼합 색상",32930,227601377,False,26,5.0,756.0,False,히키스,"3,000",496.0,650 x 430 x 300 mm,베이지,AL. ABS. WOOD,NULL,650mm,NULL
192,239,184674,"가구가구또가구 서랍레일 볼레일 3단 35폭 기타수납장, 350",2500,4716941,False,0,4.5,448.0,False,,"2,500",83.0,350mm,NULL,철제,NULL,NULL,NULL
193,240,184674,네츄럴 라인 다용도상 대형,14900,493488,True,25,4.5,429.0,True,,,28.0,800 x 600 x 250 mm,브라운,합성목재,NULL,800mm,직사각형
194,241,184674,"아이언피팅 페달식말굽, 니켈무광",7300,2116650,True,42,4.5,479.0,False,아이언피팅,0,205.0,NULL,NULL,NULL,NULL,NULL,NULL
195,243,184674,"베스트렉 A121 심플 바의자 아일랜드식탁의자 바텐, A121_베이지",39900,4536524095,False,0,5.0,42.0,False,베스트렉,0,42.0,NULL,베이지,NULL,NULL,NULL,NULL
196,246,184674,"카카오프렌즈 테이블, 어피치",26650,109004934,True,10,4.5,141.0,False,카카오프렌즈,0,32.0,NULL,NULL,NULL,NULL,NULL,NULL
197,249,184674,"상상e상 LPM 라운드볼 테이블 12060, 화이트오크",39800,4760035477,True,0,5.0,10.0,False,,0,10.0,NULL,NULL,NULL,NULL,NULL,NULL
198,250,184674,"트리팜 LPM 높이조절 접이식 테이블 특대 800, 화이트오크",22610,190724842,True,5,4.5,109.0,False,,0,37.0,NULL,NULL,NULL,NULL,NULL,NULL
199,251,184674,"트리팜 LPM 높이조절 접이식 테이블 원형 600, 마블",19430,187613542,True,0,4.5,206.0,False,,0,111.0,NULL,NULL,NULL,NULL,NULL,NULL
200,252,184674,"하이앤드리 스타 1200 에어프라이어 전자레인지 토스트기 렌지다이 렌지대 밥솥다이 와이드 넓은 주방 수납장 주방수납장, 화이트",93900,1552949473,False,47,4.5,46.0,False,,착불배송,46.0,NULL,NULL,NULL,모던/심플,1200mm,NULL
201,253,184674,"서우 월넛집성목 다용도상 특대, 브라운",20160,21744527,True,43,4.5,103.0,False,서우,0,53.0,특대(80 x 60 cm),브라운,합성목재,NULL,80cm,직사각형
202,254,184674,"조은세상 남원 유전 밥상 600 x 450 mm, 대추색",104880,1688141011,False,0,5.0,18.0,False,혼이깃든,0,18.0,NULL,NULL,NULL,NULL,NULL,NULL
