,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,단,재질,형태
50,52,434960,"드림 1+1 롱 슬리퍼 걸이 욕실화 실내화 신발 거치대 현관 정리 용품 홀더 슈즈랙 꽂이 수건, 1개",10300,343552762,False,0,4.5,41.0,False,드림,0,38.0,NULL,NULL,NULL
51,53,434960,"트레벨 3단 화이트 신발정리대 800, 1개",11150,8864436,True,0,4.5,476.0,False,트레벨,0,66.0,3단,스테인리스,일자형
52,54,434960,"엠지 사각 신발정리대 5단 블랙, 1개",11000,4842717306,True,10,4.0,4.0,False,,0,4.0,NULL,NULL,NULL
53,55,434960,"바오마루 좁은현관 신발정리대 신발장, 1개",7000,194618965,False,0,4.0,32.0,False,,"2,500",23.0,NULL,NULL,NULL
54,56,434960,"아이홈 더블 10단 신발정리대, 1개",14940,48683569,True,42,4.5,552.0,False,,0,245.0,10단,폴리프로필렌(PP),일자형
55,57,434960,"리빙해피 화이트 신발정리대, 1개",11900,16141267,True,7,4.0,70.0,False,리빙해피,0,7.0,3~4단,스테인리스,일자형
56,58,434960,더준 아파트 좁은 현관 신발장 현관장 신발정리대,26900,4876562483,False,3,5.0,4.0,False,더준,0,4.0,NULL,NULL,NULL
57,59,434960,"홈앤하우스 너도밤나무 벤치겸 신발정리대 화이트, 1개",33900,1438797507,True,10,4.5,47.0,False,홈앤하우스,0,45.0,NULL,NULL,NULL
58,60,434960,"[이즈마트] 공간절약 4단 조립식 신발정리대 신발장 다용도 선반, 1세트",8000,1088671070,False,0,4.5,31.0,False,,0,30.0,4단,NULL,일자형
59,61,434960,"리빙해피 슬리퍼 랙 4단, 1개",13400,276668524,True,1,4.5,35.0,False,리빙해피,0,17.0,NULL,NULL,NULL
60,62,434960,"홈앤드림 6단 12켤레 고급 신발장, 1개",9560,2322546585,True,0,5.0,13.0,False,홈앤드림,0,13.0,NULL,NULL,NULL
61,63,434960,"후니네가게 신발장 신발 정리함 현관 원룸 셀프 간이 좁은 작은 아기 유아 보관함 수납장(1), 1개",7790,1793608336,False,29,4.5,4.0,False,,"2,500",4.0,NULL,NULL,NULL
62,64,434960,"슈마니아 하이탑 프리미엄 신발정리함 사이드 클리어, 6개",69900,310754450,True,22,4.5,41.0,False,,0,30.0,NULL,NULL,NULL
63,65,434960,"리빙해피 센스신발정리대 9단 화이트, 1개",20320,29827690,True,14,4.5,269.0,False,리빙해피,0,99.0,9~10단,스테인리스,NULL
64,66,434960,"랙돌 신발정리대 현관신발장 신발장 수납 선반, 싱글 6단",10900,2190674729,False,35,5.0,23.0,False,,0,23.0,NULL,NULL,NULL
65,67,434960,"리빙생활 신발 정리대 정리함 정리 조립식 박스 슈즈 보관함 좁은현관 신발장 수납함 케이스, 1개",950,2262598924,False,50,4.0,140.0,False,,"2,500",141.0,1개,폴리프로필렌(PP),일자형
66,68,434960,"시온넷 파스텔 다용도 8단 신발정리대, 파스텔 8단 신발정리대 그레이",13500,80479738,False,0,4.0,525.0,False,,0,124.0,8개,NULL,NULL
67,69,434960,제이에스리빙 투명 플라스틱 신발정리대 좁은 현관 신발 거치대 원목 간이 벤치형 신발정리함 신발장 조립식 신발정리 아파트 슬림 인테리어 수납장 [파마스],32500,4744322533,False,34,2.0,1.0,False,,0,1.0,NULL,NULL,NULL
68,70,434960,"디스토어 신발장 다용도 조립식 신발정리대 좁은현관, 1set",7900,102440042,False,38,4.5,58.0,False,,0,24.0,6단,플라스틱,일자형
69,72,434960,"트레벨 3단 화이트 신발정리대, 1개",8820,793543,True,0,4.5,298.0,False,트레벨,0,56.0,3단,ABS,일자형
70,73,434960,"지후 이지심플 신발장 겸용 선반, 블랙",22110,61157728,False,0,4.5,659.0,False,,0,177.0,NULL,NULL,NULL
71,74,434960,"드림 1+1 슬리퍼 걸이 IV 욕실화 실내화 신발 거치대 현관 정리 용품 홀더 슈즈랙 꽂이, 1개",3900,1767425573,False,0,4.5,21.0,False,드림,0,21.0,NULL,NULL,NULL
72,75,434960,"스토피아 간편조립 신발 수납장 6단 6족, 1개",7940,1364196,True,6,5.0,81.0,False,스토피아,0,40.0,5단 이상,폴리프로필렌(PP),일자형
73,76,434960,"유로피안 심플 바타입 슬리퍼 거치대, 화이트",3400,301336359,False,0,4.5,9.0,False,,0,6.0,NULL,NULL,NULL
74,77,434960,"아이리스 투명 슈즈박스 NSB-340, 6개",24900,108947489,True,0,4.0,464.0,False,아이리스,0,226.0,1단,폴리프로필렌(PP),일자형
75,78,434960,"멜팅홈 심플컬러 조립형 신발 정리대 블랙, 1개",13890,202915610,True,17,4.0,33.0,False,,0,32.0,NULL,NULL,NULL
76,79,434960,"마이닝 아일론 실내화정리대 1p, 1개",23720,80236750,True,14,4.5,95.0,False,마이닝,0,18.0,NULL,강철/철제,일자형
77,80,434960,"천 8단 벽걸이신발장 생활용품 정리용품 신발장 신발장 이동신발장 지그재그신발장 신발정리함 신발정리대, 댄스 천8단벽걸이신발장",15720,207703597,False,0,4.5,19.0,False,,0,13.0,NULL,NULL,NULL
78,81,434960,"3켤레 가능 슬리퍼 거치대 욕실화 실내화 주방 수건 정리 다용도 걸이, 핑크",3190,1770710285,False,0,4.5,18.0,False,,0,18.0,NULL,NULL,NULL
79,82,434960,"히키스 신발 수납박스 인테리어 보관 확인 투명 슈즈정리함, 4개",27500,136984767,True,23,4.5,225.0,False,히키스,0,55.0,1단,폴리프로필렌(PP),일자형
80,83,434960,"페어프랜즈 3단 원목 벤치 겸 신발정리대, 1개",28200,351728,True,0,4.5,19.0,False,,0,9.0,3단,원목/우드,일자형
81,84,434960,"모노플랫 신발 정리 거치대, 1개",24900,336375837,True,0,5.0,16.0,False,모노플랫,0,13.0,NULL,NULL,NULL
82,85,434960,"DIY 투명신발정리함 고급형 화이트, 5개",29750,1610032540,True,0,4.5,17.0,False,,0,17.0,NULL,NULL,NULL
83,86,434960,"JS가구 우산꽂이형 4단 신발정리대 슈즈랙 좁은현관 미니 조립식 현관장 원룸 폴딩 거치대 아파트 수납장 오픈 수납 신발 신발장, 1개",25800,57786473,False,13,4.5,72.0,False,,0,19.0,4개,플라스틱,일자형
84,87,434960,"투명 신발정리함 화이트, 6개",9900,1693037465,True,0,3.5,60.0,False,,0,61.0,NULL,NULL,NULL
85,88,434960,리라 5단 심플 현관 신발정리대 1개,9900,5513812891,False,60,5.0,1.0,False,,0,1.0,5단,NULL,일자형
86,89,434960,"(예담)신발장 다용도 정리대 수납장 좁은 현관 신발정리, 1set",12200,2263747871,False,0,4.5,57.0,False,,0,52.0,5칸,플라스틱,일자형
87,90,434960,"메이스 조립식 투명 신발정리대 5개 10개 12개, 12p",14500,5412636006,False,50,3.5,6.0,False,메이스,0,6.0,1단,폴리프로필렌(PP),일자형
88,91,434960,"가팡 가볍고 보기좋은 신발장 선반 화이트 F, 1개",34980,1792730183,True,0,2.5,19.0,False,가팡,0,19.0,NULL,NULL,NULL
89,92,434960,"다용도 5단 신발 수납장 화이트, 1개",14400,1463810021,True,6,4.0,34.0,False,,0,33.0,NULL,NULL,NULL
90,93,434960,"리빙해피 센스 9단 신발정리대 그레이, 1개",20320,22024184,True,21,4.5,114.0,False,리빙해피,0,38.0,9단,ABS,일자형
91,94,434960,"제이에스리빙 공간활용 다용도 신발 정리대 신발장 미니 슬림 수납장 현관 좁은 키큰 높은 틈새 오픈 조립식 선반 낮은 인테리어 아파트 소형 슈즈렉 간이 신발정리대, 1개",13500,1556457220,False,43,4.0,7.0,False,,0,7.0,NULL,NULL,NULL
92,95,434960,"더블앤더블 신발정리대 20개세트, 여성용20",14800,227040385,False,0,5.0,7.0,False,더블앤더블,0,4.0,NULL,NULL,NULL
93,96,434960,"봄햇살 캐릭터 슈즈랙 신발정리대 신발보관함 핑크 토끼, 1개",14700,1534169477,False,45,4.0,9.0,False,,0,8.0,4단,NULL,NULL
94,97,434960,"이케아 신발장 블랙 301.811.17, 1개",28990,6048617,False,0,4.5,66.0,False,이케아,0,8.0,2단,강철/철제,일자형
95,98,434960,"투명 신발정리함 블랙, 6개",9900,1693037324,True,0,3.5,26.0,False,,0,27.0,NULL,NULL,NULL
96,99,434960,"홈스토리 벤치형 신발정리대 4단, 1개",38800,46533284,True,0,4.5,338.0,False,홈스토리,0,66.0,4단,강철/철제,일자형
97,100,434960,디홀릭 커버형 9단 부직포 신발장 베이지,23500,148076659,True,18,4.0,158.0,False,디홀릭,0,56.0,NULL,NULL,NULL
98,101,434960,"또사자몰 미니신발장 좁은현관 거실화 정리대(고무망치증정), 1개",11850,4322871441,False,0,4.5,19.0,False,,0,12.0,4단,ABS+부직포,일자형
99,103,434960,"아임홈리빙 LINE 지그재그 9단 신발정리대, 1개",11110,1597399782,True,2,4.5,70.0,False,아임홈리빙,0,70.0,NULL,NULL,NULL
100,104,434960,"케이리빙 프라임 미니 신발 정리대, 1개",7780,42786049,True,0,4.5,47.0,False,,0,7.0,NULL,스테인리스,일자형
101,105,434960,"DIY 투명신발정리함 고급형 블랙, 5개",39100,1610032635,True,2,4.5,33.0,False,,0,33.0,NULL,NULL,NULL
102,107,434960,"바인켓 슈케이스 이상민 신발장 김신영 투명 신발정리함 좁은현관신발장 간이 슈즈랙, 프론트 오픈형, 화이트",7500,4605403577,False,24,5.0,5.0,False,,"3,000",5.0,1,플라스틱,일자형
