,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,행거 종류,행거 타입,거울
593,702,184600,"리우리빙 2단 튼튼한 행거 + 집게 세트, 블랙",36900,4735793505,True,0,5.0,1.0,False,리우리빙,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
594,703,184600,행거만드는사람들 이동식 2단 행거 화이트,29900,1906986648,False,0,3.0,7.0,False,,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
595,704,184600,"[동서가구]네오 내츄럴CO 원목 스탠드 옷걸이 DFAC5216, 내추럴",35900,13043410,False,39,4.5,102.0,False,동서가구,0,14.0,NULL,베이지,원목,NULL,NULL,NULL,NULL
596,705,184600,"100SU 라운디 스탠드 옷걸이, 혼합색상",42000,4777034844,True,0,5.0,2.0,False,,0,2.0,NULL,NULL,원목/우드,NULL,NULL,NULL,NULL
597,707,184600,"[왕자행거] 왕자 네오스페이스(어바웃드레스룸2P-일반), 색상:1.크림화이트-750(PW)",51490,114591750,False,0,4.0,38.0,False,왕자행거,0,6.0,NULL,NULL,NULL,모던/심플,설치형,NULL,NULL
598,709,184600,"(1+1 무료배송)DIY 프리미엄 스탠드옷걸이 행거 3단옷걸이, 화이트, 화이트",19600,4672484904,False,0,4.5,2.0,False,,0,3.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
599,710,184600,"일룸 이동행거 수납형, 아이보리",86000,124197707,False,0,4.5,8.0,False,일룸,0,2.0,NULL,NULL,NULL,내추럴,스탠드/이동식,NULL,NULL
600,711,184600,"리우리빙 스크류 행거 38mm M사이즈 블랙/블랙앤화이트, 리우리빙 스크류 행거 5단 블랙 M",69900,5239038614,False,0,4.0,65.0,False,리우리빙,0,60.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
601,712,184600,"파인콘 시스템뚝딱행거 선반 3단 800 x 400 x 1800, 화이트",50170,88901635,True,22,3.5,86.0,False,트레벨,0,22.0,800 x 400 x 1800 mm,화이트,합성목재,NULL,NULL,NULL,NULL
602,713,184600,"리빙스타 베이직 폴 행거, 화이트",17900,35652795,True,52,4.0,26.0,False,리빙스타,0,2.0,NULL,NULL,NULL,NULL,폴/기둥식,NULL,NULL
603,715,184600,"가방 수납 렉, 화이트",8280,1387761413,True,16,4.5,28.0,False,,0,27.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
604,716,184600,"가화행거 알루미늄 2단 선반형 행거, 실버 + 블랙",32980,20055655,True,0,4.5,12.0,False,,0,3.0,"높이 150~250cm, 너비 75~110cm",멀티(혼합)컬러,알루미늄,NULL,NULL,NULL,NULL
605,717,184600,"레마하우스 슈랙 행거 3단 2행거 1000 x 400 x 1800 mm, 화이트",92650,70021304,True,11,4.0,13.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
606,718,184600,"왕자 점보이동식2단_선택형, 2.블랙크롬_837-1",59990,1187147080,False,6,5.0,4.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
607,719,184600,"심플 이동식 높이조절 스텐 행거 1단 가로 90~145cm, 혼합색상",12900,4890822219,True,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
608,720,184600,"쉘빙스토리 드레스룸행거 1단 800 + 2단 1200 전체타공 세트 M812 2060 x 400 x 2020 mm, 블랙",104600,1961105504,True,0,4.5,22.0,True,더쉘빙스토리,,22.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
609,722,184600,"리베 스마트 폴딩 드레스룸 행거 1+1+1 접이식 이동식, 아이보리 1+1+1",189000,4563128332,False,17,3.5,9.0,False,,0,9.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
610,723,184600,트레벨 25파이 수납 1단 + 행거 5단,52200,47672086,True,0,3.5,293.0,False,트레벨,0,6.0,"행거(230~330 x 220~260cm) , 바구니(90 x 34cm)",화이트,철제,NULL,NULL,NULL,NULL
611,724,184600,"[왕자행거] 왕자 2단너비조절세탁기선반, 상세 설명 참조",46500,114758878,False,0,4.5,25.0,False,왕자행거,0,11.0,NULL,NULL,NULL,모던/심플,설치형,NULL,NULL
612,725,184600,"은스홈 이동식행거 2단 행거, 화이트",24820,326308093,True,12,4.5,5.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
613,726,184600,"오엠티 철제 스탠드 옷걸이 행거 OR-L3, 화이트",15150,337000633,True,0,3.5,11.0,False,오엠티,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
614,728,184600,"하우스데이 원터치 다용도 폭조절 4단선반 빅사이즈, 혼합 색상",109200,24012352,True,23,4.5,54.0,False,,0,13.0,1600 x 500 x 2600 mm,화이트,철제,NULL,NULL,NULL,NULL
615,730,184600,"가화홈시스 기본형 3단 수납바구니 옷걸이 행거 N3LB3302, 기둥(아이보리) + 부품(검정)",37370,2174694906,True,0,,,False,가화홈시스,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
616,731,184600,"원룸 커튼행거 2단선반 옷걸이행거, 커튼행거_베이지",45800,5164368210,False,0,4.0,4.0,False,,0,4.0,850*450*1700,화이트,NULL,모던/심플,NULL,NULL,NULL
617,732,184600,"아이리스 2 in 1 행거 빨래 건조대 90cm HKM-900, 블랙",36900,200282026,True,0,5.0,36.0,False,아이리스,0,30.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
618,733,184600,"에보니아 709 더블 메탈 행거, 블랙",26800,1925618362,True,3,5.0,4.0,False,에보니아,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
619,734,184600,"리빙스타 커튼 4단 행거, 아이보리",79000,4395482070,False,33,4.5,40.0,False,리빙스타,0,4.0,NULL,NULL,철제,모던/심플,NULL,NULL,거울 없음
620,736,184600,"슬림형 수납 행거, 핑크",16900,67507488,True,0,3.5,111.0,False,,0,10.0,55 x 32 x 170 cm,NULL,철제,모던/심플,NULL,NULL,NULL
621,738,184600,"코시나 이동식 행거 815, 화이트",28680,10264477,False,0,4.5,15.0,False,코시나,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
622,740,184600,"영일에이치비 넘버원 마구마구 38파이 스트롱 행거, 2단행거 4단선반",86400,1198657995,True,30,4.5,333.0,False,,0,22.0,1960 x 2600 mm,화이트,철제,NULL,NULL,NULL,NULL
623,741,184600,"미니 옷걸이 벽행거 100cm JT1095, 브론즈",17360,4657177999,True,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
624,743,184600,"레마하우스 슈랙 행거 4단 1행거 1000 x 400 x 1800 mm, 블랙",99300,70021305,True,14,4.5,3.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
625,744,184600,"옷걸이행거 스탠드 높이조절 수도관 사다리폴_조립형, (블랙)",34100,194941696,False,0,4.5,22.0,False,마다메이드,"3,000",11.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
626,745,184600,"트레벨 25파이 2단 행거, 블랙",16700,2304467002,True,0,4.0,7.0,False,,0,7.0,"가로(71~120cm), 세로(220~260cm)",블랙,철제,NULL,NULL,NULL,NULL
627,746,184600,"마켓비 PIGO 191 옷걸이행거, 블랙",24900,3967575,True,0,4.5,27.0,False,마켓비,0,11.0,NULL,블랙,철제,NULL,NULL,NULL,NULL
628,747,184600,"폴라도레 이동식/고정식 1단 2단 헹거 선반 행거 폴 옷걸이 +(L), JJ-0433-05-블랙[상품상세설명 참조]",36900,4832120764,False,0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
629,749,184600,"인파이프 H201 파이프 베이직행거, 다크그레이",125000,45371643,True,0,5.0,3.0,False,,0,2.0,1000 x 500 x 1500mm,그레이,흑관파이프 15A,NULL,NULL,NULL,NULL
630,750,184600,마켓비 JAWAL 2단 선반행거 대나무 70140 사다리형,84550,1519502063,False,5,4.5,2.0,False,마켓비,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
631,751,184600,"왕자 G드레스룸행거_544, 없음",59090,1479995304,False,5,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
632,752,184600,"튼튼한 옷걸이 세우는 미니 스탠딩 현관 스텐드 사무실 철제 옷 행거, 원형 스틸행거-블랙",24700,5177150753,False,4,,,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
633,753,184600,"레마하우스 슈랙 행거 3단 2행거 600 x 400 x 1800 mm, 화이트",75560,70021267,True,13,5.0,5.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
634,754,184600,"가화행거 알루미늄 3단 선반 행거, 실버 + 블랙",62460,20055629,True,3,4.0,84.0,False,,0,8.0,너비 75~110cm,실버,알루미늄,NULL,NULL,NULL,NULL
635,755,184600,"플라팜 라탄서랍장 3단 행거형, 화이트",48640,5610746,True,23,4.5,22.0,False,,0,12.0,47.5 x 39 x 67.8 cm,NULL,p.p,NULL,NULL,NULL,NULL
636,756,184600,"[왕자행거] 왕자 네오스페이스(뉴엘레강스2단)-선택형, 색상:4.블랙화이트(nhc784-3)",69820,113791078,False,0,5.0,3.0,False,왕자행거,0,2.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
637,757,184600,"리빙스타 멀티 스탠드 행거, 화이트",26910,111312763,True,0,4.5,43.0,False,리빙스타,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
