,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
74,,96.0,184623.0,"오스본가구 모던 심플 엘르 2인 인조가죽소파, 핑크",111000.0,5584367.0,False,0.0,4.0,141.0,False,오스본가구,착불배송,8.0,NULL,NULL,인조가죽,인조가죽,스툴 없음,2~3인,NULL,NULL
75,,97.0,184623.0,"[오스본가구] 뮤즈 2인용 소파 인조가죽소파, 초코",202000.0,4905600.0,False,0.0,4.0,94.0,False,,착불배송,32.0,NULL,NULL,인조가죽,인조/천연가죽,스툴 없음,2~3인,NULL,NULL
76,,98.0,184623.0,"웰퍼니쳐 에반 아쿠아텍스 카우치 소파 4인용 우측 카우치 방문설치, 민트",558500.0,2315599990.0,True,8.0,4.5,49.0,False,웰퍼니쳐,0,50.0,NULL,NULL,NULL,패브릭,NULL,4인용,NULL,로맨틱
77,,100.0,184623.0,"서광퍼니처 멀티형 다용도 스툴 소파, 01. 직사각 스툴/다크브라운",41000.0,96540609.0,False,53.0,4.0,46.0,False,서광퍼니처,"15,000",35.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
78,,101.0,184623.0,"웰퍼니쳐 오로라 아쿠아텍스 패브릭 4인용 소파 + 사각쿠션 2p + 스툴 세트 방문설치, 노블핑크",590600.0,4328869486.0,True,0.0,5.0,21.0,False,웰퍼니쳐,0,21.0,NULL,NULL,NULL,NULL,NULL,4인용,방문설치,로맨틱
79,,102.0,184623.0,"수오 포유 2인용 패브릭 소파, 블루(HJ-Z-01-2)",125400.0,5185945547.0,False,0.0,4.0,40.0,False,수오,0,3.0,1290*590*410,NULL,NULL,NULL,NULL,2인용,NULL,모던/심플
80,,103.0,184623.0,"웰퍼니쳐 에이든 3인용 4인용 아쿠아텍스 패브릭 소파, 에이든 스툴(스카이블루)",70000.0,2087917081.0,False,53.0,4.5,135.0,False,웰퍼니쳐,착불배송,62.0,NULL,블루,패브릭,NULL,NULL,1인용,NULL,NULL
81,,104.0,184623.0,"마켓비 BENWOOD 2인용 소파 YC12AD 내추럴, 라이트그레이",149000.0,1675351975.0,False,0.0,5.0,5.0,False,마켓비,"20,000",5.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,모던/심플
82,,105.0,184623.0,공간 버튼 1인용 카페 업소용 소파의자 PU 인조가죽 카키 블랙,67000.0,2017276112.0,False,16.0,4.5,6.0,False,,착불배송,6.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,북유럽
83,,107.0,184623.0,"시스디자인 플릭 기능성 레더 패브릭 3.5인용 소파 + 스툴 세트, 토프베이지",733000.0,2010164513.0,True,3.0,4.5,22.0,False,시스디자인,0,22.0,NULL,NULL,NULL,NULL,스툴있음,3.5인용,방문설치,모던/심플
