,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,형태,바퀴
595,804,184625,"OMT 이동식 거실 쇼파 사이드 테이블 수납 거치대 ONA-306 사이드테이블, 화이트",23900,166051259,False,4,4.5,65.0,False,,"2,500",8.0,30x50x60cm,화이트,합성목재,NULL,바퀴있음
596,805,184625,"트랜드가구 심플 DIY 입식 멀티테이블 900 x 590 x 725 mm, 블랙",40800,17078926,True,4,4.0,242.0,False,,0,58.0,NULL,블랙,MDF 멤브레인,직사각형,NULL
597,806,184625,"블랙 철제 다리 접이식 테이블 800 x 600 mm, 연두",72000,2138761262,True,0,5.0,7.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL
598,809,184625,"제이에스리빙 다용도 선반 진열대 진열장 이동식 바퀴 협탁 사이드 테이블 원목 엔틱 거실 쇼파 침실 베드 원룸 보조 수납장 간이 서랍장 바퀴 우드 W7899 48x30x62, 메리 협탁-우드",29700,2311233084,False,25,4.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
599,810,184625,"[이케아] 60295928 TINGBY 팅뷔 이동식 보조테이블 화이트 50x50 cm, 상세 설명 참조",50700,1880123160,False,0,5.0,1.0,False,이케아,0,1.0,NULL,NULL,NULL,상세 설명 참조,상세 설명 참조
600,811,184625,"북유럽 벽 반원 창가 차키 테이블 복도 현관 트레이 침대틈새선반, 화이트 S",28000,1791666245,False,15,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
601,813,184625,"꿈이있는나무 수납 협탁, 브라운",55800,66543427,False,0,5.0,10.0,False,,"4,000",1.0,395x300x585,브라운,원목,NULL,NULL
602,814,184625,"베스트리빙 라운드 테이블, 랜덤",79000,1625296076,True,0,5.0,1.0,False,베스트리빙,0,1.0,NULL,NULL,NULL,NULL,NULL
603,815,184625,"가구마을 통원목 좌탁, W1200",159000,35015033,False,0,4.5,25.0,False,,착불배송,19.0,NULL,NULL,NULL,NULL,NULL
604,816,184625,"은혜가구 일자 접이식 테이블 1500x800 다용도 책상 공부 식탁, 그린+화이트다리",93900,155282922,False,0,4.5,6.0,False,,착불배송,4.0,1500x800,그린,하이그로시,NULL,NULL
605,817,184625,"로아공방 접이식 액자 테이블 원형 길이조절 다리 L + 손잡이걸이, L+손잡이걸이, 원형 길이조절 화이트",30000,4387901612,True,6,5.0,16.0,False,,0,16.0,NULL,NULL,NULL,NULL,NULL
606,818,184625,"아트랙 노블-800 색상9종 거실테이블 소파테이블(상판유리포함, 화이트/화이트",65000,204410833,False,13,4.0,5.0,False,아트랙,착불배송,,NULL,NULL,NULL,NULL,NULL
607,819,184625,"프리메이드 스퀘어 티테이블 600 카페테이블, 화이트",35900,5359270025,False,0,4.5,8.0,False,프리메이드,0,5.0,NULL,NULL,NULL,NULL,NULL
608,820,184625,"모던 접이식 대나무 원형 테이블 65 x 62.8 cm, 혼합색상",95900,1853789338,True,0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,원형,NULL
609,821,184625,"소프시스 빌리테이블1260, 티크 판넬 + 화이트 프레임",38450,138659449,True,29,4.5,90.0,False,소프시스,0,18.0,NULL,NULL,NULL,NULL,NULL
610,822,184625,"뉴타임즈3 침대머리 선반 간이 수납 침대 옆 작은 가구 다용도 침실자물쇠 궤 A8, 10 GCM",52800,1468001775,False,18,4.0,1.0,False,,0,1.0,NULL,화이트,NULL,NULL,NULL
611,823,184625,"큐빅스1 컬러협탁A, 화이트",36290,128899222,True,31,4.0,63.0,False,큐빅스,0,17.0,NULL,NULL,NULL,NULL,NULL
612,824,184625,"라꾸라꾸 좌식테이블 CBK-550, 우드 + 블랙",36370,324246611,True,1,4.0,46.0,False,라꾸라꾸,0,23.0,NULL,NULL,NULL,NULL,NULL
613,825,184625,"햇살맑은집 1단 슬림테이블 800, 블랙프레임 + 아카시아",60480,1923650618,True,6,2.5,6.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL
614,827,184625,"소미랑 사각 선반형 원목 테이블 900, 원목색",54900,52080591,True,0,4.0,18.0,False,소미랑,0,8.0,NULL,NULL,NULL,NULL,NULL
615,828,184625,"한양MSL 바퀴 달린 멀티 간이 테이블, OAK(화이트오크)",28900,5301909681,True,0,,,False,한양MSL,0,,80 x 40 cm,NULL,NULL,직사각형,바퀴있음
616,829,184625,"DNJS 라탄티테이블 좌식 식탁 원형2인 베란다 의자테이블 세트, 아이보리(식탁단품-사각)",86000,1784920282,False,1,,,False,,0,,NULL,NULL,NULL,NULL,NULL
617,830,184625,"더리체 수입엔틱 아트인 마스 원형테이블좌탁자소, 없음",148800,247992029,False,7,4.5,2.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
618,831,184625,"마누파쿰 멀티 블럭 사이드 테이블, 원목",182500,5341565846,True,0,,,False,,0,,600 x 345 x 350 mm,NULL,원목,NULL,바퀴없음
619,832,184625,"접이식 좌식 테이블 800 x 600 mm, 화이트",28400,5279901045,False,16,5.0,7.0,False,,0,7.0,800 x 600 mm,NULL,NULL,NULL,NULL
620,833,184625,"20/30/40cm넓이침실롱줄초좁은침대옆틈새장침대책상밑 서랍장옆궤Z, 조립 하 다., 20cm 쿨 링 화이트",24300,5321579610,False,0,,,False,다소미얼,0,,NULL,NULL,NULL,NULL,NULL
621,834,184625,"비앙스 로시 1200 리프트 테이블, 화이트+블랙",227000,18418882,False,23,4.5,9.0,False,비앙스,착불배송,,NULL,화이트,합성목재,NULL,NULL
622,835,184625,"해피트리 소파뒤 한뼘테이블 사이드테이블 초슬림테이블 슬림테이블, 턱X없이-W900짜리",33500,157119374,False,9,4.5,140.0,False,해피트리,착불배송,54.0,NULL,NULL,NULL,NULL,NULL
623,836,184625,"홈인홈 the 튼튼한 책상 겸 테이블 좌식 1500 x 800 mm, 상판 (화이트) + 다리 (블랙)",97220,95535113,True,1,2.0,9.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL
