,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
371,537,184670,"업소용 테이블 칸막이 가림막 (바퀴없는버전) 파티션 폴리카보네이트 업소용칸막이 매장용가림막 매장, 바퀴없는프레임투명",129200,5086626047,False,0,,,False,,0,,NULL,NULL,NULL
372,538,184670,"세광 우브 6단 파티션 가벽 26종 (양면 디자인), AS-24",159000,1930079817,False,66,5.0,1.0,False,우브,"19,000",1.0,NULL,NULL,NULL
373,540,184670,"지니홈즈 인테리어 파티션 칸막이 공간분리 가벽 스파이더파티션, 화이트, 360mm",89900,1987817566,False,21,5.0,3.0,False,,0,3.0,NULL,NULL,NULL
374,543,184670,"데코지엔 인테리어 공간분리 파티션 모음, 올갤러리미니2단(화이트)",73000,92313628,False,0,4.0,16.0,False,,착불배송,2.0,화이트,원목,내추럴
375,544,184670,"마루칸 미엘 파티션 칸막이, 1400미엘(한칸당가격)",19000,4976266729,False,0,,,False,마루칸,"6,000",,NULL,NULL,NULL
376,545,184670,"아이리스 우드 행거 파티션 46cm WLR-46, 블랙",60620,150544370,True,6,4.0,35.0,False,아이리스,0,10.0,NULL,NULL,NULL
377,546,184670,"모디디 타탄문 3단 파티션 NY-1014-3BK, 블랙",74260,116199248,True,4,4.0,5.0,False,베스트리빙,0,2.0,NULL,NULL,NULL
378,548,184670,"모디디 타탄문 4단 파티션 NY-1014-4NA, 내츄럴",115200,116199220,True,7,4.5,11.0,False,,0,6.0,NULL,NULL,NULL
379,549,184670,"다드림애드 비말차단 투명족자 투명칸막이 투명가림막 가림판 테이블칸막이, 완성파일접수, 폭60cm*100cm",16500,2016142892,False,0,5.0,1.0,False,,"3,900",1.0,NULL,NULL,NULL
380,552,184670,"이시국 투명 아크릴 개인 위생 칸막이 가림막 소형 대형 가림판 식당 파티션 학교 유치원 학원 비말 차단 일반 창구 형, 창구형(뚫림)",25000,4752671584,False,16,,,False,아트사인,"2,500",,NULL,아크릴,모던/심플
381,553,184670,"옷장 틈새 공간 활용 리빙 책꽂이 칸막이 파티션 책상 욕실 잡동사니 신발 옷장 짐 아이 장농 방법, [pick] 옷장파티션",2880,5477681420,False,0,,,False,,"2,500",,NULL,NULL,NULL
382,554,184670,"남원목기공예사 미니멀 옥 추사 산수화 비단 병풍, 1세트",145000,1703892760,True,23,5.0,2.0,False,남원목기,0,2.0,NULL,NULL,NULL
383,555,184670,"타공 테이블 700, 그레이",64350,1097602848,False,30,,,False,티에스퍼니처,착불배송,,NULL,NULL,NULL
384,556,184670,"이안랜드 파티션, 04. 한지 파티션/E형 90X150/참나무",99000,119489899,False,0,5.0,2.0,False,이안랜드,착불배송,1.0,NULL,NULL,NULL
