,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
203,272,184613,"이케아 35x49cm KULLEN 쿨렌 서랍장 침대 협탁 2단 수납장 화이트 블랙브라운 703.557.28 / 303.557.06, 화이트 703.557.28, 이케아기본포장",31570,4882857075,False,0,5.0,1.0,False,이케아,"10,000",1.0,NULL,NULL,NULL,NULL
204,273,184613,"사사가구 로빈 3단 6칸서랍장 서랍/수납장>>서랍장, 오크화이트",105000,4549474227,False,58,5.0,7.0,False,사사가구,착불배송,7.0,NULL,NULL,NULL,NULL
205,274,184613,"(레일세상) 2단 3단 밥통 볼레일 (날개형), 3단볼레일(날개형)_350mm",4200,58393394,False,0,4.0,21.0,False,,0,10.0,NULL,NULL,NULL,NULL
206,275,184613,"홈인홈 메가 칸칸이 5단 서랍장 1000 CB011, 오크",239000,1763143767,False,0,4.5,11.0,False,,착불배송,11.0,NULL,NULL,NULL,NULL
207,277,184613,"셀레스타 미니3 400 4단 서랍장, 메이플화이트_AAB10",49900,132258153,False,37,4.0,5.0,False,,착불배송,2.0,NULL,NULL,NULL,NULL
208,278,184613,"e가구 광폭 서랍장, 와이드 3단 1200 화이트메이플",115000,36530923,False,16,4.0,180.0,False,,착불배송,17.0,1200x500x700,NULL,PB + MDF,모던/심플
209,280,184613,"가구느낌 철제 서랍장 4단, 블루",40800,4504606995,True,0,4.0,7.0,False,가구느낌,0,7.0,NULL,NULL,NULL,NULL
210,281,184613,케미에르 멀바우 3단 서랍장 KMR-112,98400,70072228,False,28,5.0,2.0,False,,0,2.0,450mm x 400mm x 800mm(h),브라운,합성목재,NULL
211,282,184613,"홈인홈 메가 칸칸이 5단 서랍장 800 CB010, 워시",169000,1763143769,False,0,4.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL,NULL
212,284,184613,"솔로리빙 돌고래 광폭 800 4단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 올화이트",98900,1524005732,False,8,1.5,3.0,False,,착불배송,3.0,NULL,NULL,NULL,NULL
